410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
0.909774422,1.106060548,1.230434755,1.126984118,1.353846169,1.357078959,1.740655793,1.72551736,1.932432416,1.618181783,1.279999948,1.718749975,1.428571366,1.333333366,1.488000047,1.210191122,1.675999929,1.099999955,PET
1.097142856,1.160606042,1.194202821,1.222222207,1.230769237,1.205365179,1.125245939,1.114942566,1.080270249,1.109454543,1.065000021,1.017187502,1.0,1.0,1.194000041,1.146496769,1.200000028,1.0,PET
1.087962208,1.163787402,1.150338577,1.149999989,1.204193563,1.166060605,1.098360604,1.096867517,1.368876058,1.090225548,1.355882328,1.076923084,1.304347818,1.166666683,1.200000045,1.117647122,1.176470612,1.058823533,PET
1.463759386,1.510909033,1.537246313,1.453650802,1.492307647,1.445603639,1.409836018,2.023218495,1.378648628,1.939999925,1.307499959,1.562499961,1.285714273,1.293333362,1.434000004,1.402547749,1.599999945,1.111111062,PET
1.312180443,1.212121224,1.204057907,1.196825411,1.169230731,1.162444122,1.180327843,1.137931061,1.297297295,1.145454489,1.382499952,1.093750008,1.142857093,1.166666683,1.375999985,1.592356711,1.200000028,1.0,PET
1.269022548,1.348484768,1.333333218,1.444444414,1.569230779,1.490313073,1.508196682,1.586206903,1.540540484,1.493090854,1.574999991,1.250000022,1.314285692,1.333333366,1.399999977,1.592356711,1.419999982,1.037777761,PET
1.5081138886199053,1.5633333230739068,1.6685792770196042,1.2499999818644256,1.4502733138053343,1.3913979085125072,0.9677419144988668,1.1292200542735875,1.2836976639844058,1.1999999837330346,1.4749999459423324,1.1111111210953428,1.2857142731600404,1.3333333661550386,1.296666679161196,1.0041666653701824,1.176470612106758,1.0,PET
1.160148976366698,1.1499999720197462,1.2377048675764746,1.2166666509491688,1.311475478345712,1.3064516703130855,1.258064447450837,1.1633682737029971,1.202185840434903,1.1090909076120945,1.1666666577609557,1.190476207592016,1.0,1.0888888976413436,1.276666685976394,1.3749999870351572,1.176470612106758,1.0,PET
1.308721768,1.318181772,1.352028896,1.174603232,1.229846159,1.207153557,1.065573756,1.206896635,1.189189179,1.254545397,1.162499991,1.137500012,1.174285672,1.166666683,1.200000045,1.155413978,1.343999998,1.0,PET
1.292096798,1.24999993,1.26049585,1.355932251,1.672131237,2.050000051,2.220338985,2.048780465,2.153203344,1.886792367,3.110447664,1.833333318,1.739130365,1.500000049,1.982000006,2.933333245,1.799999903,1.219512147,PP
