410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
1.8504844055391572,1.5797644240889885,1.447731794507618,1.5807241057800332,1.6343624228278597,1.5779763283507664,2.3332135287904197,2.1174488156511657,1.113493668229429,2.0109528377207546,1.137326678654256,1.849027700385731,1.0720503979033038,1.0363386571817597,1.0966614155685133,1.1183596304817043,1.3756828136428059,1.1733035071916795,PET
1.7188154404843998,2.037850249267267,1.9529098561801084,2.1686570755944614,2.048221162284976,1.962831409007843,1.8834351506092581,2.002851588456783,2.374330360890568,1.8631442651449324,2.1853556412550583,1.6906925746898804,1.8809258937868092,1.6721547789649882,1.9600922921397586,1.5269200145823536,1.56992671277397,1.1740000563269266,PET
1.7056203914151693,1.7798953476834956,1.7295562289774118,1.7024438576405876,1.5961497356304326,1.4981291117181466,1.8838629213489295,2.30525989739998,1.4108457709505264,2.1604284685126443,1.175825840004213,1.8529429409940505,1.1683523030186738,1.1672800999440793,1.3019172053038055,1.2966503970935128,2.158462586397154,1.2980960191227577,PET
1.1785395119293256,1.226078262799131,1.1460415714742538,1.1977902221919197,1.1643050377799413,1.0910220496337402,1.2985549500048124,1.3032122428719124,1.1825091350282115,1.2554770848269574,1.2437097647641608,1.1575110408025477,1.1614320018449171,1.0274281488200896,1.181577542533871,1.0561899984792695,1.1742801852290838,1.0618497482288323,PET
1.0882759171326621,1.160403082646678,1.1500175570581317,1.1489656626948643,1.2030979458933477,1.1680455335292683,1.0993000514975635,1.097326573260147,1.3693954918288487,1.0917726995141754,1.3594961183707093,1.0745415019607092,1.304879801742855,1.1661800597498826,1.199519335015074,1.1193793944132155,1.172986134965536,1.0567727951684909,PET
1.2433341106200613,1.453151224042285,1.4064259449622716,1.4473761535381549,1.4096285625877782,1.345007573823422,1.1230891629626152,1.3618220759797162,1.3840229127301704,1.315833335604537,1.3287173095002258,1.1559051736426846,1.2513167778545409,1.167967263162903,1.3034738872877842,1.1191802774520136,1.3761753764623423,1.0559631727945415,PET
1.3054198375408697,1.3152324568426412,1.350842886338998,1.175657958230936,1.2330050726668236,1.2072774440257792,1.06615536415413,1.2038872127910205,1.1861515892516445,1.2559016275735209,1.1595789453197447,1.1336494306332545,1.17337615408716,1.1630412436606128,1.1981492593543732,1.1557606083091023,1.3472383590884178,0.9974401074136158,PET
1.4932857777003596,1.7546500818845205,1.748663476917294,1.7756335902645717,1.8344701470253322,1.7743511878423013,1.6546779177086968,1.6643356960419566,2.013188622149395,1.633827079327384,1.823555285778028,1.4072681094492405,1.7175001545375614,1.5317149049230963,1.6987012264078512,1.3495917197002638,1.4026787034588912,1.112400755058979,PET
1.3140871541157149,1.215775329696249,1.2006621521044973,1.1959956517731711,1.1720018802845613,1.1661848911388633,1.1764927637753033,1.1388688903489783,1.2939319963643519,1.1421532374678827,1.3796129480049373,1.0948584311998832,1.1427041730571685,1.1632700866299435,1.373444132039133,1.5921116423138608,1.199564879460226,1.0005730613150563,PET
0.9128934430609372,1.1093547658050054,1.2272677793728672,1.1269667716712182,1.3550857294488365,1.3537736667661189,1.744257387373215,1.7271770272918836,1.9342275073894533,1.6184851192408705,1.2823274366381026,1.722158582478416,1.4294223455546786,1.3362218081889339,1.488211068108198,1.2087313860085458,1.6797186022636181,1.0980187417508607,PET
